siteid,lon,lat,AQI
2404A,112.5224,33.0122,239
2456A,112.5328,26.9089,84
1086A,112.5369,37.8692,137
1088A,112.549,37.9854,116
2407A,112.55,32.9683,179
2406A,112.5573,33.027,215
1085A,112.5583,37.7394,93
1399A,112.565,23.1617,89
2461A,112.5664,26.9056,107
1087A,112.57,37.8195,124
2460A,112.6006,26.8919,159
2457A,112.6194,26.9258,142
2459A,112.6197,26.8733,150
2458A,112.6211,26.8956,150
2174A,112.7105,37.7087,113
2865A,112.7194444,37.68277778,103
2173A,112.7306,37.7111,117
2180A,112.7356,38.4186,112
2181A,112.7383,38.4519,109
2171A,112.7549,37.7019,153
2164A,112.8252,35.4813,150
2161A,112.835,35.4934,133
1376A,112.844,22.8693,110
2165A,112.8453,35.546,143
2160A,112.85,35.5051,162
2162A,112.8564,35.4883,138
1378A,112.863,23.1886,102
2163A,112.8664,35.4894,150
1377A,112.885,23.1572,104
1336A,112.8872,28.2189,135
1343A,112.8908,28.1308,109
1512A,112.8937,27.8728,92
1514A,112.9074,27.9119,93
1511A,112.9118,27.8403,93
1513A,112.9227,27.8159,89
1338A,112.9394,28.19,122
1508A,112.9433,27.8614,83
1340A,112.9792,28.2597,119
1342A,112.9844,28.1178,98
1851A,112.9943,29.4402,192
1339A,112.9956,28.1442,104
1344A,112.9958,28.3586,82
1341A,113.0014,28.1944,109
1562A,113.0048,27.9153,87
2472A,113.0073,25.9061,130
2473A,113.0116,25.8226,135
2474A,113.0119,25.8179,140
1703A,113.0208,23.7106,109
1385A,113.024,22.5328,128
2476A,113.0348,25.7759,128
2475A,113.0383,25.8071,119
1702A,113.0425,23.6936,80
1384A,113.074,22.5811,93
1337A,113.0792,28.2053,110
1386A,113.0819,22.5931,79
1335A,113.0833,28.2325,109
1731A,113.0844444,36.1855,162
1730A,113.0886,36.2126,152
1518A,113.095,27.8867,68
1728A,113.0972,36.1939,144
1383A,113.104,22.6069,97
1372A,113.105,23.0395,119
3034A,113.1076,41.0385,81
1847A,113.1094,29.3578,158
1727A,113.1097,36.1542,140
1524A,113.13,27.8528,71
2197A,113.1306,40.9923,89
1371A,113.134,23.0048,95
1515A,113.135,27.8244,63
1520A,113.143,27.8381,98
1373A,113.144,23.0467,97
1848A,113.1493,29.4251,137
2845A,113.1569,36.1912,152
1519A,113.167,27.8667,94
1849A,113.1772,29.3678,115
2031A,113.1817,27.9958,117
1834A,113.182,33.737,144
1830A,113.1992,35.259,377
1852A,113.2117,29.355,98
1351A,113.215,23.3917,85
1828A,113.227,35.213,415
1345A,113.235,23.1422,102
1829A,113.2464,35.1764,403
1559A,113.251,27.8336,87
1375A,113.257,22.7629,84
1352A,113.26,23.1331,90
1827A,113.261,35.235,397
1346A,113.261,23.105,94
1850A,113.2621,29.4758,112
1725A,113.2661,40.1269,107
1726A,113.2711,40.0844,110
2923A,113.2803,40.1114,108
1354A,113.281,23.1569,102
1374A,113.292,22.8054,63
1370A,113.299,22.2281,106
1831A,113.3064,33.7214,150
2846A,113.3208,23.1323,100
1832A,113.322,33.721,175
1724A,113.3444,40.0917,96
1348A,113.348,23.0916,59
1350A,113.352,22.9477,88
2451A,113.3583,31.7275,180
1379A,113.3769,22.5211,95
1721A,113.3819,40.1097,91
2452A,113.3833,31.6908,192
1380A,113.3881,22.5497,73
2453A,113.3983,31.7308,205
1381A,113.4075,22.5111,65
1349A,113.433,23.105,70
1382A,113.4411,22.4853,85
1739A,113.4922,37.8792,116
1368A,113.495,22.2294,82
1743A,113.5158,37.85,87
1670A,113.5593889,24.81119444,117
1319A,113.564,34.802,389
1742A,113.5689,37.8694,84
1367A,113.574,22.2611,60
1738A,113.5753,37.8564,107
1669A,113.586606,24.769519,134
1355A,113.589,23.5538,103
3054A,113.5922,35.28385,271
1740A,113.5922,37.8561,92
1673A,113.5970833,24.68636111,129
1671A,113.598061,24.795928,109
1322A,113.5991,34.7496,336
1324A,113.6113,34.9162,375
1369A,113.628,22.4251,104
1741A,113.6292,37.8531,106
1323A,113.6356,34.7538,382
1317A,113.641,34.7745,371
1672A,113.6734722,24.77908333,133
1316A,113.681,34.7545,411
1320A,113.727,34.7187,415
1391A,113.7383333,22.96583333,62
1388A,113.7461111,23.02777778,64
1389A,113.7480556,23.06,68
1387A,113.7819444,23.05361111,67
2398A,113.7906,33.9953,444
1390A,113.7944444,23.01277778,69
2396A,113.8331,34.0117,292
2389A,113.836,35.31,280
2348A,113.8381,27.6428,173
2349A,113.8447,27.6231,156
2351A,113.865,27.6178,162
2391A,113.883,35.303,258
2390A,113.884,35.272,295
1362A,113.891,22.5794,128
2443A,113.9153,30.9285,159
1359A,113.923,22.5167,123
2444A,113.942,30.9075,192
1358A,113.987,22.5417,99
2422A,113.996,32.996,198
2400A,114.005,33.568,370
2064A,114.0122,32.1403,158
2421A,114.0131,33.0069,196
2401A,114.014,33.581,373
2420A,114.018,32.965,192
2402A,114.0322,33.5653,350
2399A,114.056,33.567,350
2066A,114.0614,32.1383,202
2065A,114.0681,32.1342,220
1366A,114.085,22.75,94
2347A,114.0944,27.4948,100
1356A,114.096,22.55,59
2054A,114.1044,32.1078,200
1357A,114.117,22.5625,61
1330A,114.1525,30.4753,208
2385A,114.17,35.9019,206
1333A,114.2131,30.6414,207
1361A,114.24,22.7267,120
1326A,114.2511,30.5514,202
1360A,114.263,22.5908,67
1327A,114.2836,30.6197,204
1822A,114.286,36.11,210
2387A,114.2878,35.7306,202
1826A,114.2886,34.7967,328
2449A,114.2894,29.8539,90
2386A,114.2956,35.7511,213
1365A,114.297,22.5978,45
1331A,114.3008,30.5947,208
2447A,114.3036,29.8181,109
2448A,114.3231,29.8211,99
1395A,114.3244,22.8172,70
2450A,114.3372,29.8686,109
1824A,114.3389,34.7781,332
2371A,114.3442,27.8036,142
1035A,114.3541,37.9097,119
1820A,114.358,36.087,222
1325A,114.3672,30.5719,173
2374A,114.3703,27.7914,143
1825A,114.3733,34.7975,304
2372A,114.3806,27.8014,149
1332A,114.3894,30.4822,212
2373A,114.3953,27.7842,142
2375A,114.4011,27.8072,150
1393A,114.4053,23.08,61
1364A,114.41,22.6342,50
1394A,114.4103,23.1142,57
1392A,114.4183,23.0528,68
1329A,114.4272,30.6103,198
1029A,114.4548,38.0513,134
1032A,114.4586111,38.00583333,118
1077A,114.4821,37.0967,123
1818A,114.483,36.061,219
1080A,114.4854,37.062,93
1363A,114.494,22.5422,38
1050A,114.4965,36.61981,127
1031A,114.5019,38.1398,133
1049A,114.5035,36.5776,144
1047A,114.5129,36.61763,138
1034A,114.5214,38.0524,125
1078A,114.5261,37.0533,111
1396A,114.5317,22.7422,74
1033A,114.5330556,38.01777778,124
1079A,114.5331,37.0964,117
1048A,114.5426,36.6164,147
2862A,114.5480556,38.03777778,112
1030A,114.6046,38.0398,133
2070A,114.6369,33.6406,325
2069A,114.6546,33.5979,301
2067A,114.6613,33.6128,350
2068A,114.6758,33.6347,285
1696A,114.6778,23.7569,54
1698A,114.6892,23.7233,45
1697A,114.6944,23.7586,54
2438A,114.8131,30.4133,176
3131A,114.8792,40.7903,92
1059A,114.8814,40.8115,127
2929A,114.8858,30.4519,149
2436A,114.8878,30.3944,142
2366A,114.8905,25.8471,160
2426A,114.8949,30.2043,139
1057A,114.8985,40.8367,116
2437A,114.8989,30.3714,178
2446A,114.9028,30.4742,158
1060A,114.9032,40.7688,139
1061A,114.904,40.8725,120
2356A,114.9119,27.8042,90
2354A,114.9289,27.8328,103
2355A,114.9314,27.8036,89
2365A,114.9322,25.8333,159
2363A,114.9367,25.8664,172
2364A,114.9461,25.8481,142
2368A,114.9739,27.11,105
2367A,114.9817,27.0658,123
2353A,114.9831,27.8344,93
2369A,114.99,27.1311,129
3021A,115.0061,35.76806,279
2370A,115.0075,27.0983,112
2427A,115.0264,30.2099,133
2392A,115.031,35.763,260
2352A,115.0586,27.7758,105
2423A,115.0625,30.2352,107
2394A,115.0628,35.7672,263
2424A,115.0767,30.2028,115
2395A,115.0772,35.767,249
1695A,115.3622,22.7925,63
1693A,115.3653,22.775,47
1694A,115.3706,22.7898,53
1718A,115.42277,35.248889,296
1055A,115.442,38.8756,104
1720A,115.455,35.27,299
1054A,115.4612,38.8416,127
1053A,115.4713,38.9108,112
1719A,115.474722,35.2375,289
1051A,115.493,38.8632,95
1056A,115.5214,38.8707,115
1052A,115.5223,38.8957,102
